Sl. No.,State/UT,No. of Electric Vehicle (EV) Charging Stations Installed,,,,,Total No. of EV charging stations installed by OMCs from their own funds as on 01-01-2025
1,Andaman and Nicobar Islands,7,,,,,6
2,Andhra Pradesh,1309,,,,,912
3,Arunachal Pradesh,53,,,,,52
4,Assam,518,,,,,448
5,Bihar,818,,,,,517
6,Chandigarh,22,,,,,23
7,Chhattisgarh,571,,,,,498
8,Dadra and Nagar Haveli,18,,,,,316
9,Delhi,358,,,,,70
10,Goa,85,,,,,1104
11,Gujarat,1470,,,,,1068
12,Haryana,1287,,,,,136
13,Himachal Pradesh,165,,,,,170
14,Jammu and Kashmir,197,,,,,349
15,Jharkhand,458,,,,,1516
16,Karnataka,1972,,,,,679
17,Kerala,834,,,,,11
18,Ladakh,15,,,,,1
19,Lakshadweep,1,,,,,1114
20,Madhya Pradesh,1328,,,,,1595
21,Maharashtra,2010,,,,,57
22,Manipur,69,,,,,54
23,Meghalaya,81,,,,,16
24,Mizoram,18,,,,,41
25,Nagaland,47,,,,,661
26,Odisha,893,,,,,27
27,Pondicherry,36,,,,,828
28,Punjab,1064,,,,,1482
29,Rajasthan,1901,,,,,12
30,Sikkim,13,,,,,1448
31,Tamil Nadu,2434,,,,,1051
32,Telangana,1313,,,,,55
33,Tripura,58,,,,,2561
34,Uttar Pradesh,2901,,,,,12
35,Uttarakhand,252,,,,,212
36,West Bengal,1276,,,,,933
Total,Total,25852,,,,,20035
